Name,Number of Problems,Number Group,Is Add or Subtract, Average Time in Milliseconds
Nick,16,0,true,10000
Bob,16,0,true,6000
Mary,9,0,true,10546
Nick,4,6,true,3031
Nick,4,6,true,1924
Nick,4,6,true,1729
Nick,4,6,true,1704
Nick,4,6,true,1265
Nick,4,0,true,1681
Nick,4,0,true,1125
Nick,4,0,true,1281
Nick,4,6,false,3859
Nick,4,6,true,1689
Nick,4,6,true,1456
Nick,4,6,true,1410
Nick,4,6,true,1452
Nick,4,6,true,713
Nick,4,6,true,1245
Nick,4,6,true,1689
Nick,4,6,true,926
Nick,4,6,true,1096
Nick,4,6,true,4273
Nick,4,6,true,853
